	Артикул	Наименование	Количество	Единица измерения	Цена для конечного пользователя, руб.	Стоимость для конечного пользователя, руб.	Примечания	Дата выдачи КП	Номер КП	Проектная скидка	"Цена с проектной скидкой,
  руб."	"Стоимость с проектной скидкой,
  руб."	Стандартная скидка	"Цена со стандартной скидкой,
  руб."	"Стоимость со стандартной скидкой,
  руб."	Цена для конечного пользователя, $	Стоимость для конечного пользователя, $	"Цена с проектной скидкой,
  $"	"Стоимость с проектной скидкой,
  $"	Цена для конечного пользователя, руб	Стоимость для конечного пользователя, руб	Цена с проектной скидкой, руб	Стоимость с проектной скидкой, руб	Цена , руб.	Стоимость руб.	проектная скидка	Цена со скидкой, руб.	Стоимость со скидкой, руб.	Цена для конечного пользователя, €	Стоимость для конечного пользователя, €	Цена с проектной скидкой, €	Стоимость с проектной скидкой, €	Скидка для конечного пользователя	Цена для конечного пользователя со скидкой, руб.	Стоимость для конечного пользователя со скидкой, руб.	Цена со специальной скидкой, $	Стоимость со специальной скидкой, $	"Цена с проектной скидкой,
  €"	"Стоимость с проектной скидкой,
  €"	"Цена,
  руб. "	скидка	цена со скидкой	стоимость со скидкой	Цена для конечного пользователя, Руб.	Стоимость для конечного пользователя, Руб.	"Цена с проектной скидкой,
  Руб."	"Стоимость с проектной скидкой,
  Руб."	Стоимость , руб.	Unnamed: 6	 руб.	спец ЕНДЮЗЕР	Цена со скидкой от , руб.	Входная стоимость	Стоимость для конечного пользователя, $.	"Цена с проектной скидкой,
  $."	"Стоимость с проектной скидкой,
  $."	"Ширина
мм"	"Глубина
мм"	Высота мм	Масса, кг	Unnamed: 2	Цена для конечного пользователя, $.
55	C3.TP2412	Крышка для угла горизонтального 90° для лотка C3-240	3.0	шт.	900.0	2700.0		23.05.2022	4232	0.25	680.0	2040.0																																																		
56	C3.TP2415	Крышка отвода Т-образного для лотка C3-240	1.0	шт.	1100.0	1100.0		23.05.2022	4232	0.25	830.0	830.0																																																		
57	C3.TP2421	Крышка отвода крестообразного для лотка C3-240	0.0	шт.	1300.0	0.0		23.05.2022	4232	0.25	980.0	0.0																																																		
58	C3.BS4804_10	"Шкаф серверный C3 48U 600*1200, серый, дверь перф. в составе:
- комплект ручек с кодовым замком (2 ручки с код. замком)
- кронштейн для поворота БРП "	68.0	шт.	172200.0	11709600.0		20.09.2022	4234	0.36	110200.0	7493600.0																																																		
59	C3.PV3007_1	Блок распред.пит. C3 верт., 1 фаза, 32А, С13-42, C19-6, Schuko-3, вх.IEC 309, каб.2,5м,  цвет красный	68.0	шт.	59300.0	4032400.0		20.09.2022	4234	0.36	38000.0	2584000.0																																																		
60	C3.PV3003_2	Блок распред.пит. C3 верт., 1 фаза, 32А, С13-42, C19-6, Schuko-3, вх.IEC 309, каб.2,5м, цвет синий	68.0	шт.	59300.0	4032400.0		20.09.2022	4234	0.36	38000.0	2584000.0																																																		
61	C3.RF4201	Шкаф C3 42U 600*1050, черный, дверь перф.	0.0	шт.	170200.0	0.0		24.05.2022	4235	0.33	114000.0	0.0																																																		
62	C3.PS4002	Блок распред.пит. управляемый C3, 1 фаза, 32А, С13-20, С19-4, 2 авт., вх.IEC 309, каб.3м	8.0	шт.	137100.0	1096800.0		24.05.2022	4235	0.33	91900.0	735200.0																																																		
63	C3.PM4007	Блок распред.пит.с мониторингом C3, 3 фазы, 32А, С13-30, С19-12, 6 авт., вх.IEC 309, каб.3м	2.0	шт.	125900.0	251800.0		24.05.2022	4235	0.33	84400.0	168800.0																																																		
64	C3.PM0001	Датчик температура/влажность	0.0	шт.	4400.0	0.0		24.05.2022	4235	0.33	2950.0	0.0																																																		
